date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_08_26,TRUE,channel1,pool_385_400_1,atac,atac,nuclei,channel1,pbmc,*,SI-NA-A11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_2,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_3,atac,atac,nuclei,channel1,pbmc,*,SI-NA-C11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_4,atac,atac,nuclei,channel1,pbmc,*,SI-NA-D11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_5,atac,atac,nuclei,channel1,pbmc,*,SI-NA-E11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_6,atac,atac,nuclei,channel1,pbmc,*,SI-NA-F11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_7,atac,atac,nuclei,channel1,pbmc,*,SI-NA-G11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_8,atac,atac,nuclei,channel1,pbmc,*,SI-NA-H11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,FALSE,channel1,pool_385_400_dnase_1,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment + dnase treatment
2023_08_26,FALSE,channel1,pool_385_400_dnase_2,atac,atac,nuclei,channel1,pbmc,*,SI-NA-D12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_atac/fastqs_FINNGEN/230826_SL-EXD_0032_A225JCYLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment + dnase treatment
