date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,Notes
2023_01_22,FALSE,channel1,FF05494449,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAAVYKTHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230122_SL-NTA_21_AAAVYKTHV_arcfastqs/fastq_path/AAAVYKTHV/FF05494449_atac,400,200,20,1000,20000,,,,TRUE,
2023_01_22,FALSE,channel1,FF05494554,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAAVYKTHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230122_SL-NTA_21_AAAVYKTHV_arcfastqs/fastq_path/AAAVYKTHV/FF05494554_atac,400,200,20,1000,20000,,,,TRUE,
2023_01_22,FALSE,channel1,FF05494555,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAAVYKTHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230122_SL-NTA_21_AAAVYKTHV_arcfastqs/fastq_path/AAAVYKTHV/FF05494555_atac,400,200,20,1000,20000,,,,TRUE,
2023_01_22,FALSE,channel1,FF05494624,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-G1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAAVYKTHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230122_SL-NTA_21_AAAVYKTHV_arcfastqs/fastq_path/AAAVYKTHV/FF05494624_atac,400,200,20,1000,20000,,,,TRUE,
2023_01_22,FALSE,channel1,FF05494733,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAAVYKTHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230122_SL-NTA_21_AAAVYKTHV_arcfastqs/fastq_path/AAAVYKTHV/FF05494733_atac,400,200,20,1000,20000,,,,TRUE,
2023_01_22,FALSE,channel1,FF06996406,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-B2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAAVYKTHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230122_SL-NTA_21_AAAVYKTHV_arcfastqs/fastq_path/AAAVYKTHV/FF06996406_atac,400,200,20,1000,20000,,,,TRUE,
2023_01_22,FALSE,channel1,FF06996409,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAAVYKTHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230122_SL-NTA_21_AAAVYKTHV_arcfastqs/fastq_path/AAAVYKTHV/FF06996409_atac,400,200,20,1000,20000,,,,TRUE,
2023_01_22,FALSE,channel1,FF06996927,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-H1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAAVYKTHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230122_SL-NTA_21_AAAVYKTHV_arcfastqs/fastq_path/AAAVYKTHV/FF06996927_atac,400,200,20,1000,20000,,,,TRUE,
2023_01_20,FALSE,channel1,FF05494449,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-A1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAANGLFHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230120_SL-NTA_20_AAANGLFHV_arcfastqs/fastq_path/AAANGLFHV,400,200,20,1000,20000,,,,TRUE,
2023_01_20,FALSE,channel1,FF05494554,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-E1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,AAANGLFHV,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230120_SL-NTA_20_AAANGLFHV_arcfastqs/fastq_path/AAANGLFHV,400,200,20,1000,20000,,,,TRUE,
