date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch
2022_07_20,FALSE,channel1,FF03154680,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,40000,,,,TRUE,batch1
2022_07_25,FALSE,channel1,FF03154742,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,3000,30000,,,,TRUE,batch1
2022_05_24,FALSE,channel1,FF03154750_FF03154855_FF04679450_FF06997638,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,H3VFYDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220602_SL-NSA_0375_AH3VFYDRX2,400,200,20,1000,15000,,,,TRUE,batch1
2022_07_25,FALSE,channel1,FF03154843,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,40000,,,,TRUE,batch1
2022_06_28,FALSE,channel1,FF03154902,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,4000,40000,,,,TRUE,batch1
2022_07_20,FALSE,channel1,FF03154915,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,40000,,,,TRUE,batch1
2022_07_07,FALSE,channel1,FF03154963,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,2000,30000,,,,TRUE,batch1
2022_07_20,FALSE,channel1,FF03155007,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,2000,30000,,,,TRUE,batch1
2022_03_24,FALSE,channel1,FF04677848,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,H3CNLDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220401_SL-NVN_0674_AH3CNLDRX2,400,200,20,3000,25000,,,,TRUE,batch1
2022_07_19,FALSE,channel1,FF04677850,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,30000,,,,TRUE,batch1
2022_06_28,FALSE,channel1,FF04677883,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,4000,35000,,,,TRUE,batch1
2022_07_18,FALSE,channel1,FF04677928,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,35000,,,,TRUE,batch1
2022_07_25,FALSE,channel1,FF04678062,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,2000,30000,,,,TRUE,batch1
2022_07_07,FALSE,channel1,FF04678071,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,4000,35000,,,,TRUE,batch1
2022_07_18,FALSE,channel1,FF04678121,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,3000,30000,,,,TRUE,batch1
2022_07_25,FALSE,channel1,FF04678124,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,40000,,,,TRUE,batch1
2022_06_29,FALSE,channel1,FF04678214,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,5000,40000,,,,TRUE,batch1
2022_07_18,FALSE,channel1,FF04678248,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,5000,35000,,,,TRUE,batch1
2020_05_05,FALSE,channel1,FF04678253,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,H3CLWDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220511_SL-NVL_0718_AH3CLWDRX2,400,200,20,2000,30000,,,,TRUE,batch1
2022_07_07,TRUE,channel1,FF04678303,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,40000,,,,TRUE,batch1
2022_07_19,FALSE,channel1,FF04678305,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,5000,50000,,,,TRUE,batch1
2022_05_25,FALSE,channel1,FF04678313_FF04677979_FF05494641_FF03155019,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,H3VFYDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220602_SL-NSA_0375_AH3VFYDRX2,400,200,20,4000,40000,,,,TRUE,batch1
2022_07_19,FALSE,channel1,FF04678359,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,500,40000,,,,TRUE,batch1
