date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,,
2022_08_30,TRUE,channel1,FF04678987_FF06996781_FF04677885_FF03155069,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTK7DRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220830_SL-NVB_1031_BHFTK7DRX2,400,200,20,1000,20000,,,,TRUE,batch1,,
2022_08_30,TRUE,channel1,FF04678987_FF06996781_FF04677885_FF03155069,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-G8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTFVDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220830_SL-NVB_1032_AHFTFVDRX2,400,200,20,1000,20000,,,,TRUE,batch1,,
2022_08_30,TRUE,channel1,FF04678987_FF06996781_FF04677885_FF03155069_2,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTK7DRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220830_SL-NVB_1031_BHFTK7DRX2,400,200,20,1000,20000,,,,TRUE,batch1,,
2022_08_30,TRUE,channel1,FF04678987_FF06996781_FF04677885_FF03155069_2,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-G10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTFVDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220830_SL-NVB_1032_AHFTFVDRX2,400,200,20,1000,20000,,,,TRUE,batch1,,
2023_02_26,TRUE,channel1,FF06997053,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-H4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCN33DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0580_AHCN33DSX5,400,200,20,1000,20000,,,,TRUE,batch2,,
2023_02_26,TRUE,channel1,FF06997053,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMC3DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NSE_0597_AHCMC3DSX5,400,200,20,1000,20000,,,,TRUE,batch2,,
2023_03_20,TRUE,channel1,FF06997053_2,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-H4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HKC3TDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NSE_0611_AHKC3TDSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2023_03_20,TRUE,channel1,FF06997053_2,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTH3DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NVV_0695_AHFTH3DSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2022_06_27,TRUE,channel1,FF06997632,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-D2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HG5HLDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220702_SL-NVR_0581_BHG5HLDRX2,400,200,20,1000,20000,,,,TRUE,batch1,,
2022_06_27,TRUE,channel1,FF06997632,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-D3,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HG5HJDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220703_SL-NVL_0770_AHG5HJDRX2,400,200,20,1000,20000,,,,TRUE,batch1,,
2022_06_27,TRUE,channel1,FF06997632_2,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HV5Y3DSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0973_BHV5Y3DSX3,400,200,20,1000,20000,,,,TRUE,batch1,,
2022_06_27,TRUE,channel1,FF06997632_2,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-E3,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE,batch1,,
2023_02_03,TRUE,channel1,FF09460275_2,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HC25CDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230203_SL-NSH_1069_BHC25CDSX5,400,200,20,1000,20000,,,,TRUE,batch2,,
2023_02_26,TRUE,channel1,FF09460275_2,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMC3DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NSE_0597_AHCMC3DSX5,400,200,20,1000,20000,,,,TRUE,batch2,,
2023_03_20,TRUE,channel1,FF09460275_3,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HKC3TDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NSE_0611_AHKC3TDSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2023_03_20,TRUE,channel1,FF09460275_3,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTH3DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NVV_0695_AHFTH3DSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2023_03_20,FALSE,channel1,FF03154671,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-G8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HKC3TDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NSE_0611_AHKC3TDSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2023_03_20,FALSE,channel1,FF03154671,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-C2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTH3DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NVV_0695_AHFTH3DSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2022_07_20,FALSE,channel1,FF03154680,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HV5Y3DSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0973_BHV5Y3DSX3,400,200,20,1000,20000,,,,TRUE,batch1,,
2022_07_20,FALSE,channel1,FF03154680,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-F12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE,batch1,,
2023_03_20,FALSE,channel1,FF03154687,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HKC3TDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NSE_0611_AHKC3TDSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2023_03_20,FALSE,channel1,FF03154687,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-C1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTH3DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NVV_0695_AHFTH3DSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2023_03_20,FALSE,channel1,FF03154726,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-H9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HKC3TDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NSE_0611_AHKC3TDSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2023_03_20,FALSE,channel1,FF03154726,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HFTH3DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230318_SL-NVV_0695_AHFTH3DSX5,400,200,20,1000,20000,,,,TRUE,batch3,,
2022_07_25,FALSE,channel1,FF03154742,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HV5Y3DSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0973_BHV5Y3DSX3,400,200,20,1000,20000,,,,TRUE,batch1,,
