date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_07_17,TRUE,channel1,FF04679689,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-A5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151259,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-B5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151217,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-C4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151227,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-C5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09458219,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-D4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF06996577,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-D5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151457,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-E4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF06997903,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-E5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151277,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-F4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151740,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-F5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,223YTMLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230717_SL-EXE_0033_B223YTMLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
