date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_07_13,FALSE,channel1,FF04679613,rna,rna,nuclei,channel1,pbmc,1-8,SI-TT-H11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF04679613,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF04679613/FF04679613/FF04679613_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,no cellbender
2023_02_26,TRUE,channel1,FF04677819,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF04677819,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF04677819/FF04677819/FF04677819_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch2,NovaSeq6000,S4,,bcl_convert,
2023_02_26,FALSE,channel1,FF06997053,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF06997053,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF06997053/FF06997053/FF06997053_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch2,NovaSeq6000,S4,,bcl_convert,No Cellbender
2023_02_03,FALSE,channel1,FF09460275,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09460275,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09460275/FF09460275/FF09460275_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch2,NovaSeq6000,S4,,bcl_convert,No Cellbender
2023_02_26,TRUE,channel1,FF09460275_2,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09460275_2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09460275_2/FF09460275_2/FF09460275_2_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch2,NovaSeq6000,S4,,bcl_convert,
2023_07_17,TRUE,channel1,FF04679689,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-A5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF04679689,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF04679689/FF04679689/FF04679689_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151259,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-B5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09151259,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09151259/FF09151259/FF09151259_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151217,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-C4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09151217,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09151217/FF09151217/FF09151217_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151227,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-C5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09151227,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09151227/FF09151227/FF09151227_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09458219,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-D4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09458219,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09458219/FF09458219/FF09458219_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF06996577,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-D5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF06996577,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF06996577/FF06996577/FF06996577_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151457,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-E4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09151457,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09151457/FF09151457/FF09151457_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF06997903,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-E5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF06997903,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF06997903/FF06997903/FF06997903_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151277,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-F4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09151277,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09151277/FF09151277/FF09151277_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151740,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-F5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09151740,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09151740/FF09151740/FF09151740_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151393,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-G4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09151393,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09151393/FF09151393/FF09151393_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09151377,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-G5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09151377,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09151377/FF09151377/FF09151377_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF09458261,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-H4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09458261,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09458261/FF09458261/FF09458261_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_07_17,TRUE,channel1,FF04678566,rna,rna,nuclei,channel1,pbmc,1-4,SI-TT-H5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF04678566,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF04678566/FF04678566/FF04678566_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,pool_337_344_1,rna,rna,nuclei,channel1,pbmc,6-8,SI-TT-A8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,pool_337_344_1,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/pool_337_344_1/pool_337_344_1/pool_337_344_1_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,pooling experiment
2023_06_09,TRUE,channel1,FF09458680,rna,rna,nuclei,channel1,pbmc,6-8,SI-TT-A9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09458680,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09458680/FF09458680/FF09458680_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF06998244,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-B4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF06998244,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF06998244/FF06998244/FF06998244_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF05494550,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-B5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF05494550,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF05494550/FF05494550/FF05494550_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF09459592,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-B7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09459592,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09459592/FF09459592/FF09459592_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,pool_337_344_2,rna,rna,nuclei,channel1,pbmc,6-8,SI-TT-B8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,pool_337_344_2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/pool_337_344_2/pool_337_344_2/pool_337_344_2_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,pooling experiment
2023_06_09,TRUE,channel1,FF09459135,rna,rna,nuclei,channel1,pbmc,6-8,SI-TT-B9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09459135,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09459135/FF09459135/FF09459135_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF06997835,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-C4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF06997835,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF06997835/FF06997835/FF06997835_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF06996389,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-C5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF06996389,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF06996389/FF06996389/FF06996389_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF09458629,rna,rna,nuclei,channel1,pbmc,6-8,SI-TT-C9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09458629,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09458629/FF09458629/FF09458629_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF05494851,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-D4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF05494851,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF05494851/FF05494851/FF05494851_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF05494755,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-D5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF05494755,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF05494755/FF05494755/FF05494755_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF09459023,rna,rna,nuclei,channel1,pbmc,6-8,SI-TT-D9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09459023,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09459023/FF09459023/FF09459023_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF06997708,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-E4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF06997708,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF06997708/FF06997708/FF06997708_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF05494817,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-E5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF05494817,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF05494817/FF05494817/FF05494817_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF06996929,rna,rna,nuclei,channel1,pbmc,1-5,SI-TT-E7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF06996929,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF06996929/FF06996929/FF06996929_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_09,TRUE,channel1,FF09458762,rna,rna,nuclei,channel1,pbmc,6-8,SI-TT-E9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,FF09458762,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv3_FINNGEN/FF09458762/FF09458762/FF09458762_out_FPR_0.01_filtered.h5,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
