date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2020_05_05,FALSE,channel1,FF04678253,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-G9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,H7TCMDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0719_BH7TCMDRX2_arcfastqs/fastq_path/H7TCMDRX2/FF04678253_atac,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF04678253,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,H3CLWDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0718_AH3CLWDRX2_arcfastqs/fastq_path/H3CLWDRX2,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF04679349,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-H9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,H7TCMDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0719_BH7TCMDRX2_arcfastqs/fastq_path/H7TCMDRX2/FF04679349_atac,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF04679349,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,H3CLWDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0718_AH3CLWDRX2_arcfastqs/fastq_path/H3CLWDRX2,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF05494381,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,H7TCMDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0719_BH7TCMDRX2_arcfastqs/fastq_path/H7TCMDRX2/FF05494381_atac,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF05494381,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,H3CLWDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0718_AH3CLWDRX2_arcfastqs/fastq_path/H3CLWDRX2,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF06998314,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,H7TCMDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0719_BH7TCMDRX2_arcfastqs/fastq_path/H7TCMDRX2/FF06998314_atac,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF06998314,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,H3CLWDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0718_AH3CLWDRX2_arcfastqs/fastq_path/H3CLWDRX2,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2023_06_29,TRUE,channel1,pool_337_344_1,multiome,atac,nuclei,channel1,pbmc,7-8,SI-NA-A11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs/fastq_path/223YKWLT3/pool_337_344_1_atac,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,pooling experiment
2023_06_09,TRUE,channel1,pool_337_344_1,multiome,rna,nuclei,channel1,pbmc,6-8,SI-TT-A8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs/fastq_path/22523WLT3,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,pooling experiment
