date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,instrument,fastq_workflow,notes
2023_06_29,TRUE,channel1,FF09458629,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,TRUE,channel1,FF09458680,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,TRUE,channel1,FF09458762,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,TRUE,channel1,FF09458800,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-H10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,TRUE,channel1,FF09458839,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-G10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,TRUE,channel1,FF09458892,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,TRUE,channel1,FF09459023,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-D10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,TRUE,channel1,FF09459135,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-B10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,TRUE,channel1,pool_1_337-344,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,pooling experiment
2023_06_29,TRUE,channel1,pool_2_337-344,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-B11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,pooling experiment
2023_06_09,TRUE,channel1,FF09458629,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-C9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,TRUE,channel1,FF09458680,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-A9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,TRUE,channel1,FF09458762,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-E9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,TRUE,channel1,FF09458800,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,TRUE,channel1,FF09458839,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-G9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,TRUE,channel1,FF09458892,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-F9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,TRUE,channel1,FF09459023,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-D9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,TRUE,channel1,FF09459135,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,TRUE,channel1,pool_1_337-344,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-A8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,pooling experiment
2023_06_09,TRUE,channel1,pool_2_337-344,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,pooling experiment
2023_06_29,FALSE,channel1,FF04678566,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF04679689,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF06996577,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF06997370,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
