date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_08_10,TRUE,channel1,pool1_FF09458629_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool1_FF09458629_gex/pool1_FF09458629_gex/pool1_FF09458629_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool1_FF09458680_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool1_FF09458680_gex/pool1_FF09458680_gex/pool1_FF09458680_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool1_FF09458762_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool1_FF09458762_gex/pool1_FF09458762_gex/pool1_FF09458762_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool1_FF09458800_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool1_FF09458800_gex/pool1_FF09458800_gex/pool1_FF09458800_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool1_FF09458839_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool1_FF09458839_gex/pool1_FF09458839_gex/pool1_FF09458839_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool1_FF09458892_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool1_FF09458892_gex/pool1_FF09458892_gex/pool1_FF09458892_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool1_FF09459023_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool1_FF09459023_gex/pool1_FF09459023_gex/pool1_FF09459023_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool1_FF09459135_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool1_FF09459135_gex/pool1_FF09459135_gex/pool1_FF09459135_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool2_FF09458629_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool2_FF09458629_gex/pool2_FF09458629_gex/pool2_FF09458629_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool2_FF09458680_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool2_FF09458680_gex/pool2_FF09458680_gex/pool2_FF09458680_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool2_FF09458762_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool2_FF09458762_gex/pool2_FF09458762_gex/pool2_FF09458762_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_08_10,TRUE,channel1,pool2_FF09458800_gex,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool2_FF09458800_gex/pool2_FF09458800_gex/pool2_FF09458800_gex_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
