date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_02_26,TRUE,channel1,FF03154942,atac,atac,nuclei,channel1,pbmc,*,SI-NA-D9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF03154958,atac,atac,nuclei,channel1,pbmc,*,SI-NA-E9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF03154986,atac,atac,nuclei,channel1,pbmc,*,SI-NA-G9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF04677809,atac,atac,nuclei,channel1,pbmc,*,SI-NA-C9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF04677871,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF04678012,atac,atac,nuclei,channel1,pbmc,*,SI-NA-D10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF04678185,atac,atac,nuclei,channel1,pbmc,*,SI-NA-H9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF04678215,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF04678216,atac,atac,nuclei,channel1,pbmc,*,SI-NA-F9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
2023_02_26,TRUE,channel1,FF04679363,atac,atac,nuclei,channel1,pbmc,*,SI-NA-A10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment
