date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_08_26,TRUE,channel1,pool_385_400_1,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_2,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-B6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_3,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-C6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_4,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-D6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_5,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-E6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_6,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-F6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_7,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-G6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_8,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-H6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_dnase_1,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-A7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment + dnase treatment
2023_08_26,TRUE,channel1,pool_385_400_dnase_2,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-B7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230826_SL-EXA_0072_B22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment + dnase treatment
