date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_08_26,TRUE,channel1,pool_385_400_1,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_1_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_1,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_2,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-B11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_2_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_2,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-B6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_3,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_3_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_3,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-C6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_4,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-D11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_4_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_4,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-D6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_5,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_5_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_5,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-E6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_6,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_6_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_6,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-F6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_7,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-G11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_7_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_7,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-G6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_8,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-H11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_8_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_8,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-H6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_08_26,TRUE,channel1,pool_385_400_dnase_1,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-B12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_dnase_1_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment + dnase treatment
2023_08_26,TRUE,channel1,pool_385_400_dnase_1,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-A7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment + dnase treatment
2023_08_26,TRUE,channel1,pool_385_400_dnase_2,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-D12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,225JCYLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXD_0032_A225JCYLT3_arcfastqs/fastq_path/225JCYLT3/pool_385_400_dnase_2_atac,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment + dnase treatment
2023_08_26,TRUE,channel1,pool_385_400_dnase_2,multiome,rna,nuclei,channel1,pbmc,1-6,SI-TT-B7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22572LLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230826_SL-EXA_0072_B22572LLT3_arcfastqs/fastq_path/22572LLT3,400,200,20,1000,20000,,,,TRUE,batch4,NovaSeqXplus,10B,,bcl_convert,pooling experiment + dnase treatment
2023_06_29,FALSE,channel1,pool_1_337-344,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs/fastq_path/223YKWLT3/pool_1_337-344_atac,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqXplus,10B,,bcl_convert,pooling experiment
2023_06_09,FALSE,channel1,pool_1_337-344,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-A8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230609_SL-EXB_0024_B22523WLT3_arcfastqs/fastq_path/22523WLT3,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqXplus,10B,,bcl_convert,pooling experiment
